console,name,company,metascore,userscore,totalscore,rankcategory,rank
XONE,Grand Theft Auto V,Microsoft,97,7.8,104.8,top10console,1.0
XONE,Red Dead Redemption 2,Microsoft,98,5.9,103.9,top10console,2.0
XONE,Metal Gear Solid V: The Phantom Pain,Microsoft,95,7.4,102.4,top10console,3.0
XONE,INSIDE,Microsoft,93,8.2,101.2,top10console,4.0
XONE,Divinity: Original Sin II - Definitive Edition,Microsoft,93,7.5,100.5,top10console,5.0
XONE,Celeste,Microsoft,94,6.4,100.4,top10console,6.0
XONE,The Witcher 3: Wild Hunt,Microsoft,91,9.2,100.2,top10console,7.0
XONE,Forza Horizon 4,Microsoft,92,7.7,99.7,top10console,8.0
XONE,What Remains of Edith Finch,Microsoft,92,7.4,99.4,top10console,9.0
XONE,Dead Cells,Microsoft,91,8.0,99.0,top10console,10.0
XBOX,Halo: Combat Evolved,Microsoft,97,8.6,105.6,top10console,1.0
XBOX,Grand Theft Auto Double Pack,Microsoft,96,8.0,104.0,top10console,2.0
XBOX,Halo 2,Microsoft,95,8.2,103.2,top10console,3.0
XBOX,Star Wars: Knights of the Old Republic,Microsoft,94,9.0,103.0,top10console,4.0
XBOX,Tom Clancy's Splinter Cell Chaos Theory,Microsoft,94,8.9,102.9,top10console,5.0
XBOX,Ninja Gaiden Black,Microsoft,94,8.7,102.7,top10console,6.0
XBOX,Grand Theft Auto: San Andreas,Microsoft,93,8.7,101.7,top10console,7.0
XBOX,Tom Clancy's Splinter Cell Pandora Tomorrow,Microsoft,93,8.6,101.6,top10console,8.0
XBOX,Tom Clancy's Splinter Cell,Microsoft,93,8.6,101.6,top10console,9.0
XBOX,Burnout 3: Takedown,Microsoft,94,7.4,101.4,top10console,10.0
X360,Grand Theft Auto IV,Microsoft,98,7.9,105.9,top10console,1.0
X360,Grand Theft Auto V,Microsoft,97,8.3,105.3,top10console,2.0
X360,Mass Effect 2,Microsoft,96,8.9,104.9,top10console,3.0
X360,BioShock,Microsoft,96,8.9,104.9,top10console,4.0
X360,The Orange Box,Microsoft,96,8.8,104.8,top10console,5.0
X360,The Elder Scrolls V: Skyrim,Microsoft,96,8.5,104.5,top10console,6.0
X360,Red Dead Redemption,Microsoft,95,9.0,104.0,top10console,7.0
X360,Portal 2,Microsoft,95,8.7,103.7,top10console,8.0
X360,Batman: Arkham City,Microsoft,94,8.7,102.7,top10console,9.0
X360,The Elder Scrolls IV: Oblivion,Microsoft,94,8.7,102.7,top10console,10.0
WIIU,The Legend of Zelda: Breath of the Wild,Nintendo,96,8.2,104.2,top10console,1.0
WIIU,Super Mario 3D World,Nintendo,93,8.9,101.9,top10console,2.0
WIIU,Super Smash Bros. for Wii U,Nintendo,92,9.0,101.0,top10console,3.0
WIIU,Rayman Legends,Nintendo,92,8.7,100.7,top10console,4.0
WIIU,Bayonetta 2,Nintendo,91,9.0,100.0,top10console,5.0
WIIU,The Legend of Zelda: The Wind Waker HD,Nintendo,90,8.9,98.9,top10console,6.0
WIIU,Mario Kart 8 DLC Pack 2,Nintendo,90,8.9,98.9,top10console,7.0
WIIU,Guacamelee! Super Turbo Championship Edition,Nintendo,90,7.6,97.6,top10console,8.0
WIIU,Axiom Verge,Nintendo,89,8.6,97.6,top10console,9.0
WIIU,Mario Kart 8,Nintendo,88,8.9,96.9,top10console,10.0
WII,Super Mario Galaxy 2,Nintendo,97,9.1,106.1,top10console,1.0
WII,Super Mario Galaxy,Nintendo,97,9.0,106.0,top10console,2.0
WII,The Legend of Zelda: Twilight Princess,Nintendo,95,9.0,104.0,top10console,3.0
WII,World of Goo,Nintendo,94,8.7,102.7,top10console,4.0
WII,Super Smash Bros. Brawl,Nintendo,93,8.9,101.9,top10console,5.0
WII,Xenoblade Chronicles,Nintendo,92,9.2,101.2,top10console,6.0
WII,The Legend of Zelda: Skyward Sword,Nintendo,93,8.1,101.1,top10console,7.0
WII,Rayman Origins,Nintendo,92,8.5,100.5,top10console,8.0
WII,Metroid Prime Trilogy,Nintendo,91,9.1,100.1,top10console,9.0
WII,Resident Evil 4: Wii Edition,Nintendo,91,9.0,100.0,top10console,10.0
VITA,Persona 4 Golden,Sony,93,8.9,101.9,top10console,1.0
VITA,Velocity 2X,Sony,90,7.2,97.2,top10console,2.0
VITA,LittleBigPlanet PS Vita,Sony,88,8.6,96.6,top10console,3.0
VITA,Rayman Origins,Sony,88,8.4,96.4,top10console,4.0
VITA,Spelunky,Sony,88,7.9,95.9,top10console,5.0
VITA,Tearaway,Sony,87,8.9,95.9,top10console,6.0
VITA,Rayman Legends,Sony,87,8.4,95.4,top10console,7.0
VITA,Guacamelee!,Sony,87,8.3,95.3,top10console,8.0
VITA,Velocity Ultra,Sony,87,7.9,94.9,top10console,9.0
VITA,Final Fantasy X / X-2 HD Remaster,Sony,86,8.9,94.9,top10console,10.0
Switch,Super Mario Odyssey,Nintendo,97,8.9,105.9,top10console,1.0
Switch,The Legend of Zelda: Breath of the Wild,Nintendo,97,8.5,105.5,top10console,2.0
